Cluster,Word,Probability
11,life,0.08616684377193451
11,brain,0.07092371582984924
11,back,0.05430692061781883
11,young,0.03711630403995514
11,pain,0.03688128665089607
11,help,0.03288891166448593
11,deal,0.029803073033690453
11,therapy,0.02635255455970764
11,human,0.025618508458137512
11,adult,0.022579632699489594
12,medical,0.0672893077135086
12,take,0.06298847496509552
12,look,0.04853644594550133
12,american,0.04744405671954155
12,blood,0.036792054772377014
12,healthcare,0.0360066220164299
12,stop,0.027326349169015884
12,get,0.026370398700237274
12,step,0.024154221639037132
12,billion,0.022499797865748405
13,what,0.16765426099300385
13,some,0.06860986351966858
13,way,0.06486137211322784
13,house,0.03470512479543686
13,next,0.03419622406363487
13,thanks,0.028331533074378967
13,premium,0.022556662559509277
13,prevent,0.02135859616100788
13,actually,0.019623227417469025
13,reach,0.017862306907773018
14,ebola,0.18286217749118805
14,patient,0.08453044295310974
14,doctor,0.0721949115395546
14,hospital,0.06228895112872124
14,case,0.03612528368830681
14,treatment,0.0322888121008873
14,virus,0.023263106122612953
14,nurse,0.02100837416946888
14,about,0.020314441993832588
14,who,0.019347921013832092
15,disease,0.12000871449708939
15,question,0.081265389919281
15,tell,0.04289233684539795
15,lose,0.0420711375772953
15,stress,0.0407954566180706
15,goal,0.02735537849366665
15,happy,0.026786282658576965
15,heart_disease,0.025461891666054726
15,season,0.023118454962968826
15,weight,0.017805255949497223
16,health,0.28900572657585144
16,care,0.1000620573759079
16,plan,0.05724049732089043
16,health_care,0.04138704016804695
16,change,0.03385311737656593
16,worker,0.03378099948167801
16,free,0.028894806280732155
16,issue,0.01868678629398346
16,system,0.01769404672086239
16,smoking,0.016719361767172813
17,risk,0.13029126822948456
17,heart,0.07979422062635422
17,good,0.04986441135406494
17,long,0.03069973550736904
17,raise,0.026751181110739708
17,lower,0.025364385917782784
17,time,0.025268390774726868
17,stroke,0.02200302481651306
17,attack,0.01897505484521389
17,higher,0.01831083372235298
18,your,0.08517476171255112
18,want,0.06759300827980042
18,parent,0.04476574435830116
18,join,0.03490201011300087
18,offer,0.033332083374261856
18,latest,0.032013725489377975
18,should,0.03143475204706192
18,last,0.03140948712825775
18,panel,0.025149278342723846
18,answer,0.02453494258224964
19,make,0.10151998698711395
19,people,0.09825552999973297
19,here,0.05797282233834267
19,think,0.044617604464292526
19,eating,0.04095781594514847
19,diabetes,0.04073326662182808
19,family,0.038469236344099045
19,scientist,0.038071159273386
19,love,0.037451278418302536
19,medicine,0.026063155382871628
20,test,0.07845250517129898
20,first,0.06628365069627762
20,obama,0.051582541316747665
20,face,0.049893978983163834
20,world,0.04558250308036804
20,minute,0.026735590770840645
20,public,0.025605684146285057
20,result,0.025289922952651978
20,transplant,0.022880498319864273
20,cigarette,0.020503398030996323
21,might,0.061762865632772446
21,much,0.05474747717380524
21,body,0.0488663874566555
21,early,0.04653337970376015
21,weekend,0.04003199562430382
21,alzheimer,0.038234107196331024
21,turn,0.03034217841923237
21,lung,0.02789185382425785
21,living,0.021619517356157303
21,dementia,0.021425284445285797
22,report,0.0983007624745369
22,expert,0.045509591698646545
22,teen,0.04509855806827545
22,death,0.04475896432995796
22,rate,0.0430513434112072
22,rise,0.036009788513183594
22,call,0.031163031235337257
22,likely,0.02992459386587143
22,news,0.025326969102025032
22,great,0.02523897774517536
23,obamacare,0.07765018939971924
23,million,0.06597888469696045
23,court,0.03954147547483444
23,california,0.03257666900753975
23,year,0.03254295885562897
23,cell,0.030916716903448105
23,tied,0.028066305443644524
23,china,0.02509806863963604
23,measles,0.019219672307372093
23,every,0.018676932901144028
24,ebola,0.06412356346845627
24,fight,0.05313413217663765
24,outbreak,0.05076649785041809
24,africa,0.04574217647314072
24,le,0.042228665202856064
24,birth,0.03590954467654228
24,west,0.03590400516986847
24,will,0.034272897988557816
24,control,0.03302440792322159
24,spread,0.03191021829843521
25,nh,0.10524004697799683
25,exercise,0.07389896363019943
25,have,0.05253932625055313
25,talk,0.0371691957116127
25,government,0.03148485720157623
25,most,0.029074234887957573
25,watch,0.026899537071585655
25,merck,0.024126984179019928
25,type,0.023181403055787086
25,made,0.022724388167262077
26,insurance,0.10532470047473907
26,cdc,0.06617525219917297
26,coverage,0.04481599107384682
26,give,0.04236692935228348
26,support,0.028817633166909218
26,open,0.028291059657931328
26,affect,0.027891011908650398
26,must,0.026693394407629967
26,month,0.026072997599840164
26,concussion,0.02044985443353653
27,study,0.1860649436712265
27,find,0.11505646258592606
27,today,0.07533244788646698
27,story,0.04937349259853363
27,study_find,0.04873940348625183
27,problem,0.03752388805150986
27,sleep,0.03529764711856842
27,share,0.029226228594779968
27,mean,0.02261565998196602
27,link,0.018287384882569313
28,vaccine,0.07072918117046356
28,state,0.061234429478645325
28,research,0.04561993479728699
28,start,0.03941267356276512
28,trial,0.03916075825691223
28,cost,0.037155747413635254
28,bird,0.02721935510635376
28,reason,0.02306280843913555
28,small,0.022560834884643555
28,just,0.020458539947867393
29,need,0.08018336445093155
29,calorie,0.047437116503715515
29,morning,0.047435689717531204
29,workout,0.046243228018283844
29,treat,0.0368453711271286
29,good,0.03481176495552063
29,read,0.03429430350661278
29,clinic,0.020991411060094833
29,doe,0.02074378915131092
29,head,0.020423222333192825
